Complexity,Loss,Equation
1,44.237404,"x0"
2,0.030612519,"sin(-1.5703083)"
3,0.030580439,"-0.56989896 - 0.4357632"
5,0.028570378,"-1.0830109 - (-0.015469584 * x0)"
6,0.002584479,"(-0.2514625 * sin(x0)) - 0.95987153"
7,0.0025376866,"(-0.28535363 * sin(sin(x0))) - 0.95963794"
8,0.0024148438,"(sin(1.0122225 * x0) * -0.25161654) - 0.9622456"
9,0.0013872111,"(sin(x0) * -0.2529742) - cos(-0.049047176 * x0)"
10,0.0013837456,"sin(sin(x0) * -0.2551487) - cos(0.048995003 * x0)"
11,0.0013808727,"sin(sin(sin(x0) * -0.2577665)) - cos(x0 * -0.048961528)"
12,0.0013536399,"(sin(x0) * -0.2422967) - cos(-0.049495947 * (x0 - sin(x0)))"
13,0.0013506954,"(sin(x0) * -0.2422967) - cos(-0.049495947 * (x0 - sin(sin(x0))))"
14,0.0013030712,"(sin(x0) * -0.25329515) - cos(-0.049095213 * (x0 + sin(x0 + x0)))"
15,0.0012841455,"(sin(x0) * -0.24547946) - cos((sin(x0 - sin(x0)) - x0) * -0.049543247)"
16,0.0012667438,"(sin(x0) * -0.25329515) - cos(-0.049095213 * (x0 + cos((x0 * 0.68213737) * x0)))"
17,0.0012586524,"(-0.24941798 * sin(x0)) - cos(-0.057129312 * (x0 * cos(sin(sin(sin(0.48970172 - x0))))))"
18,0.001161755,"(sin(x0) * -0.25329515) - cos(-0.049095213 * (x0 + cos(((x0 * -1.0143261) * 0.68213737) * x0)))"
19,0.0011592851,"sin(sin(x0) * -0.25329515) - cos(-0.049095213 * (x0 + cos(((x0 * -1.0143261) * 0.68213737) * x0)))"
